电影名字,别名,电影链接,导演,主演,年份,国家,类型,评分,星级,评价人数,评论
肖申克的救赎,The Shawshank Redemption,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特FrankDarabont,蒂姆·罗宾斯TimRobbins,1994,美国,犯罪剧情,9.7,4.5,2859537,希望让人自由。
霸王别姬,再见，我的妾,https://movie.douban.com/subject/1291546/,陈凯歌KaigeChen,张国荣LeslieCheung,1993,中国大陆中国香港,剧情爱情同性,9.6,4.5,2114260,风华绝代。
阿甘正传,Forrest Gump,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯RobertZemeckis,汤姆·汉克斯TomHanks,1994,美国,剧情爱情,9.5,4.5,2134581,一部美国近现代史。
泰坦尼克号,Titanic,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆JamesCameron,莱昂纳多·迪卡普里奥Leonardo,1997,美国墨西哥,剧情爱情灾难,9.5,4.5,2160624,失去的才是永恒的。 
这个杀手不太冷,Léon,https://movie.douban.com/subject/1295644/,吕克·贝松LucBesson,让·雷诺JeanReno,1994,法国美国,剧情动作犯罪,9.4,4.5,2271622,怪蜀黍和小萝莉不得不说的故事。
千与千寻,千と千尋の神隠し,https://movie.douban.com/subject/1291561/,宫崎骏HayaoMiyazaki,柊瑠美RumiHîragi,2001,日本,剧情动画奇幻,9.4,4.5,2215550,最好的宫崎骏，最好的久石让。 
美丽人生,La vita è bella,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼RobertoBenigni,罗伯托·贝尼尼RobertoBeni,1997,意大利,剧情喜剧爱情战争,9.6,4.5,1311388,最美的谎言。
辛德勒的名单,Schindler's List,https://movie.douban.com/subject/1295124/,史蒂文·斯皮尔伯格StevenSpielberg,连姆·尼森LiamNeeson,1993,美国,剧情历史战争,9.6,4.5,1092779,拯救一个人，就是拯救整个世界。
星际穿越,Interstellar,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰ChristopherNolan,马修·麦康纳MatthewMc,2014,美国英国加拿大,剧情科幻冒险,9.4,4.5,1805233,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,Inception,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰ChristopherNolan,莱昂纳多·迪卡普里奥Le,2010,美国英国,剧情科幻悬疑冒险,9.4,4.5,2036406,诺兰给了我们一场无法盗取的梦。
楚门的世界,The Truman Show,https://movie.douban.com/subject/1292064/,彼得·威尔PeterWeir,金·凯瑞JimCarrey,1998,美国,剧情科幻,9.4,4.5,1677657,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆LasseHallström,理查·基尔RichardGer,2009,美国英国,剧情,9.4,4.5,1385221,永远都不能忘记你所爱的人。
海上钢琴师,La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷GiuseppeTornatore,蒂姆·罗斯TimRoth,1998,意大利,剧情音乐,9.3,4.5,1658968,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,3 Idiots,https://movie.douban.com/subject/3793023/,拉库马·希拉尼RajkumarHirani,阿米尔·汗AamirKhan,2009,印度,剧情喜剧爱情歌舞,9.2,4.5,1838768,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,Les choristes,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂ChristopheBarratier,让-巴蒂斯特·莫尼,2004,法国瑞士德国,剧情音乐,9.3,4.5,1295450,天籁一般的童声，是最接近上帝的存在。 
